replicateid,dayselapsed,beta,eir,pfprunder5,pfpr2to10,pfprall
2455,7121,0.02,1.39547,6.07294,5.02558,4.02023
2455,7152,0.02,1.39547,5.84096,4.77001,3.91824
2455,7183,0.02,1.39547,7.29952,6.00606,4.90787
2455,7213,0.02,1.39547,9.01342,7.90239,6.50788
2455,7244,0.02,1.39547,11.7632,10.667,8.76614
2455,7274,0.02,1.39547,14.2725,12.4781,10.6743
2455,7305,0.02,1.39547,14.7408,12.9742,10.8385
2455,7336,0.02,1.39471,12.7921,11.286,9.25759
2455,7364,0.02,1.39471,10.9868,9.55594,7.76979
2455,7395,0.02,1.39471,9.38473,8.02458,6.48403
2455,7425,0.02,1.39471,8.33333,6.89863,5.55941
2455,7456,0.02,1.39471,7.36336,5.94637,4.86452
2455,7486,0.02,1.39471,6.72744,5.50707,4.27831
2455,7517,0.02,1.39471,6.38819,5.40638,4.11824
2455,7548,0.02,1.39471,7.47529,6.36123,4.99629
2455,7578,0.02,1.39471,9.1798,7.86517,6.72577
2455,7609,0.02,1.39471,12.5906,10.9977,9.16896
2455,7639,0.02,1.39471,15.0438,12.8167,10.912
2455,7670,0.02,1.39471,15.0029,12.8957,11.0445
2455,7701,0.02,1.45263,13.5112,11.625,9.33739
2455,7729,0.02,1.45263,11.5159,9.62288,7.82206
2455,7760,0.02,1.45263,9.67471,8.06287,6.53718
2455,7790,0.02,1.45263,8.6679,7.09024,5.52718
2455,7821,0.02,1.45263,7.62392,6.02994,4.70885
2455,7851,0.02,1.45263,6.99289,5.4947,4.18361
2455,7882,0.02,1.45263,6.47638,5.35725,4.05271
2455,7913,0.02,1.45263,7.31138,6.09734,4.91386
2455,7943,0.02,1.45263,9.43648,8.07816,6.57282
2455,7974,0.02,1.45263,12.4167,10.8126,9.00159
2455,8004,0.02,1.45263,14.812,13.3052,10.9671
2455,8035,0.02,1.45263,14.8576,13.2075,10.9772
2455,8066,0.02,1.4254,13.1965,11.2867,9.25441
2457,3987,0.03,2.61879,20.9072,18.8117,15.9843
2457,4018,0.03,2.61879,20.8028,18.125,15.3497
2457,4049,0.03,2.612,18.3859,15.6167,12.7608
2457,4077,0.03,2.612,15.0681,12.6653,10.3526
2457,4108,0.03,2.612,13.1251,10.7104,8.55462
2457,4138,0.03,2.612,11.5756,9.41941,7.2104
2457,4169,0.03,2.612,9.92216,8.1975,6.12825
2457,4199,0.03,2.612,8.85945,6.99135,5.42911
2457,4230,0.03,2.612,8.67486,6.88584,5.30929
2457,4261,0.03,2.612,9.78719,8.40806,6.7271
2457,4291,0.03,2.612,13.4963,11.5232,9.35772
2457,4322,0.03,2.612,17.5178,15.155,12.9417
2457,4352,0.03,2.612,20.4384,18.1507,15.7314
2457,4383,0.03,2.612,20.5559,18.263,15.5813
2457,4414,0.03,2.54479,18.2988,15.7584,12.9438
2457,4442,0.03,2.54479,15.6623,13.0653,10.53
2457,4473,0.03,2.54479,13.577,11.2868,8.7673
2457,4503,0.03,2.54479,12.0653,9.71088,7.49525
2457,4534,0.03,2.54479,10.2248,8.20726,6.38641
2457,4564,0.03,2.54479,9.79093,7.40468,5.68768
2457,4595,0.03,2.54479,9.38756,7.2187,5.6805
2457,4626,0.03,2.54479,11.0115,8.86118,7.19009
2457,4656,0.03,2.54479,13.8933,11.9544,9.97827
2457,4687,0.03,2.54479,18.2073,15.6198,13.4655
2457,4717,0.03,2.54479,20.4187,17.8279,15.7732
2457,4748,0.03,2.54479,20.4908,18.0051,15.4152
2457,4779,0.03,2.62087,17.8066,15.3472,12.487
2457,4807,0.03,2.62087,15.1856,13.0712,10.2484
2457,4838,0.03,2.62087,13.2429,10.8615,8.41756
2457,4868,0.03,2.62087,11.6887,9.21586,7.1963
2457,4899,0.03,2.62087,10.3958,7.90874,6.2672
2457,4929,0.03,2.62087,8.92476,7.38005,5.51449
2457,4960,0.03,2.62087,8.30164,6.99821,5.39267
2457,4991,0.03,2.62087,9.82696,8.18966,6.64188
2457,5021,0.03,2.62087,13.066,11.1553,9.16932
2457,5052,0.03,2.62087,17.2984,15.3831,12.5723
2457,5082,0.03,2.62087,20.4065,18.4003,15.2584
2457,5113,0.03,2.62087,20.5242,18.2503,14.9128
2457,5144,0.03,2.47894,17.3369,15.3495,12.3003
2457,5173,0.03,2.47894,14.3438,12.2698,9.93499
2457,5204,0.03,2.47894,12.762,10.3046,8.31528
2457,5234,0.03,2.47894,11.4528,8.79309,7.06505
2457,5265,0.03,2.47894,9.77499,7.85799,6.12042
2457,5295,0.03,2.47894,8.97719,7.36475,5.44323
2457,5326,0.03,2.47894,8.97034,7.06772,5.46536
2457,5357,0.03,2.47894,10.4731,8.6625,7.07183
2457,5387,0.03,2.47894,13.9501,11.7786,9.90348
2457,5418,0.03,2.47894,17.0647,14.7317,13.2754
2457,5448,0.03,2.47894,20.0183,17.6051,15.5875
2457,5479,0.03,2.47894,20.1101,17.3685,15.2105
2457,5510,0.03,2.5259,17.472,14.9634,12.4431
2457,5538,0.03,2.5259,15.2068,12.5972,10.1298
2457,5569,0.03,2.5259,13.4418,11.0952,8.39998
2457,5599,0.03,2.5259,11.4825,9.16982,7.08022
2457,5630,0.03,2.5259,10.2566,7.92627,6.13581
2457,5660,0.03,2.5259,8.84899,6.87903,5.47118
2457,5691,0.03,2.5259,8.89434,7.21301,5.48067
2457,5722,0.03,2.5259,10.2146,8.49724,6.92669
2457,5752,0.03,2.5259,13.4153,11.7605,9.66209
2457,5783,0.03,2.5259,17.277,15.4888,13.1141
2457,5813,0.03,2.5259,20.915,18.1582,15.7265
2457,5844,0.03,2.5259,21.2807,18.6628,15.4523
2457,5875,0.03,2.53045,18.6746,15.8663,12.7357
2457,5903,0.03,2.53045,15.2609,12.9777,10.3803
2457,5934,0.03,2.53045,12.7802,10.6075,8.57213
2457,5964,0.03,2.53045,10.9078,9.15758,7.11996
2457,5995,0.03,2.53045,9.98824,8.24415,6.03162
2457,6025,0.03,2.53045,9.29036,7.35818,5.43218
2457,6056,0.03,2.53045,8.63941,6.88916,5.36749
2457,6087,0.03,2.53045,10.1031,8.1125,6.62859
2457,6117,0.03,2.53045,12.8808,10.9275,9.0304
2457,6148,0.03,2.53045,16.9714,14.9685,12.6447
2457,6178,0.03,2.53045,19.8443,17.6307,15.0757
2457,6209,0.03,2.53045,20.4671,17.88,15.0019
2457,6240,0.03,2.4597,17.1718,14.8615,12.3147
2457,6268,0.03,2.4597,14.9096,12.479,10.1536
2457,6299,0.03,2.4597,13.2955,10.6866,8.39986
2457,6329,0.03,2.4597,12.0224,9.07505,7.13463
2457,6360,0.03,2.4597,10.4135,8.1776,6.2209
2457,6390,0.03,2.4597,9.2097,7.45126,5.49299
2457,6421,0.03,2.4597,8.71005,7.15434,5.60381
2457,6452,0.03,2.4597,10.0179,8.37502,7.03109
2457,6482,0.03,2.4597,13.2552,11.5229,9.96176
2457,6513,0.03,2.4597,18.0048,15.6634,13.5364
2457,6543,0.03,2.4597,21.0361,18.5392,15.9398
2457,6574,0.03,2.4597,21.0639,18.0811,15.6128
2457,6605,0.03,2.55131,18.4552,15.1432,12.7333
2457,6634,0.03,2.55131,15.6186,12.4489,10.3462
2457,6665,0.03,2.55131,13.5048,10.7837,8.39228
2457,6695,0.03,2.55131,11.9332,9.53202,7.06705
2457,6726,0.03,2.55131,10.568,8.24927,6.03156
