replicateid,dayselapsed,beta,eir,pfprunder5,pfpr2to10,pfprall
2725,6482,0.82,52.3838,79.5568,73.9036,65.0656
2725,6513,0.82,52.3838,90.1583,87.3236,78.6361
2725,6543,0.82,52.3838,89.5831,83.6165,73.3168
2725,6574,0.82,52.3838,80.1715,69.9063,52.2715
2725,6605,0.82,52.4803,57.9471,41.0598,24.0819
2725,6634,0.82,52.4803,38.923,25.1244,12.7075
2725,6665,0.82,52.4803,28.1651,17.1003,8.07392
2725,6695,0.82,52.4803,22.2914,13.6069,5.95838
2725,6726,0.82,52.4803,18.3913,10.9739,4.87903
2725,6756,0.82,52.4803,15.6919,9.0657,4.53572
2725,6787,0.82,52.4803,21.1572,14.8856,9.92533
2725,6818,0.82,52.4803,48.7326,40.9274,33.0339
2725,6848,0.82,52.4803,80.9587,75.3109,65.4392
2725,6879,0.82,52.4803,90.0775,86.813,78.6726
2725,6909,0.82,52.4803,88.7249,83.5671,73
2725,6940,0.82,52.4803,79.9777,68.2877,51.0365
2725,6971,0.82,52.3855,56.3372,40.4728,23.1059
2725,6999,0.82,52.3855,37.8722,24.6032,12.3874
2725,7030,0.82,52.3855,27.7827,17.3181,7.9374
2725,7060,0.82,52.3855,22.2711,13.4523,5.84234
2725,7091,0.82,52.3855,18.1709,10.7994,4.96863
2725,7121,0.82,52.3855,15.9747,9.62008,4.64805
2725,7152,0.82,52.3855,21.574,14.6913,9.71981
2725,7183,0.82,52.3855,47.5978,40.1881,32.0285
2725,7213,0.82,52.3855,80.7768,75.0126,65.1906
2725,7244,0.82,52.3855,90.8016,86.9722,78.6054
2725,7274,0.82,52.3855,90.0055,84.1719,73.4742
2725,7305,0.82,52.3855,80.5718,69.7514,52.3182
2725,7336,0.82,52.4176,57.8073,41.7279,23.6518
2725,7364,0.82,52.4176,39.2885,25.8629,12.8037
2725,7395,0.82,52.4176,28.1838,17.8692,7.97135
2725,7425,0.82,52.4176,21.9009,12.91,5.63978
2725,7456,0.82,52.4176,17.6883,10.3938,4.67504
2725,7486,0.82,52.4176,15.048,8.95598,4.29818
2725,7517,0.82,52.4176,20.2854,14.0804,9.15266
2725,7548,0.82,52.4176,46.7167,39.0228,30.9012
2725,7578,0.82,52.4176,79.7799,74.0156,64.5416
2725,7609,0.82,52.4176,90.641,87.52,78.6706
2725,7639,0.82,52.4176,89.6999,84.5539,73.7608
2725,7670,0.82,52.4176,80.4015,69.903,52.5261
2725,7701,0.82,52.0982,58.105,41.4562,23.7701
2725,7729,0.82,52.0982,39.4341,25.4105,12.8765
2725,7760,0.82,52.0982,29.0034,17.2797,8.11088
2725,7790,0.82,52.0982,23.0592,13.5929,5.97473
2725,7821,0.82,52.0982,18.4599,10.8794,4.96235
2725,7851,0.82,52.0982,16.2168,9.57349,4.61758
2725,7882,0.82,52.0982,21.6556,15.151,9.78138
2725,7913,0.82,52.0982,48.2587,40.2861,31.6833
2725,7943,0.82,52.0982,80.1364,74.0436,64.6978
2725,7974,0.82,52.0982,90.8745,86.9193,78.3454
2725,8004,0.82,52.0982,89.3931,83.7049,72.9376
2725,8035,0.82,52.0982,81.5957,70.4212,52.1731
2725,8066,0.82,52.3191,58.4544,41.8206,23.8525
2701,3987,0.83,52.9642,88.0885,83.5627,73.36
2701,4018,0.83,52.9642,79.1748,68.5526,52.2552
2701,4049,0.83,52.7787,55.4985,40.7858,23.9641
2701,4077,0.83,52.7787,37.9012,25.1276,13.1745
2701,4108,0.83,52.7787,27.2562,17.347,8.28047
2701,4138,0.83,52.7787,21.287,13.0324,5.94538
2701,4169,0.83,52.7787,16.8963,10.2002,4.8057
2701,4199,0.83,52.7787,14.4851,8.52565,4.43704
2701,4230,0.83,52.7787,20.1007,14.1927,9.46895
2701,4261,0.83,52.7787,44.6544,38.3501,31.1369
2701,4291,0.83,52.7787,77.7591,73.7166,65.0652
2701,4322,0.83,52.7787,89.6548,86.6383,78.8647
2701,4352,0.83,52.7787,88.3731,83.7662,73.8974
2701,4383,0.83,52.7787,79.0009,69.1588,53.1352
2701,4414,0.83,52.7771,56.6078,40.8101,24.5694
2701,4442,0.83,52.7771,38.3825,24.9784,13.2605
2701,4473,0.83,52.7771,28.1264,17.4232,8.28331
2701,4503,0.83,52.7771,21.7372,13.285,6.05793
2701,4534,0.83,52.7771,17.9061,10.8486,5.0852
2701,4564,0.83,52.7771,14.9823,9.43932,4.49689
2701,4595,0.83,52.7771,20.4758,14.9305,9.62507
2701,4626,0.83,52.7771,45.9798,39.4196,31.6497
2701,4656,0.83,52.7771,78.647,73.4621,64.4971
2701,4687,0.83,52.7771,89.8084,86.868,78.6935
2701,4717,0.83,52.7771,88.8099,83.8169,73.584
2701,4748,0.83,52.7771,79.4374,68.9197,52.7994
